ip,entropy_score,cusum_score,pca_score,total_packets,total_flows
172.16.0.5,0.000000,1.835110,4109982804.000781,9863153,2179203
192.168.50.1,1.822990,-0.399373,3746631881.642319,1682,734
192.168.50.6,47.008110,1.575531,5197895959.576379,1361,319
192.168.50.253,0.000000,1.438106,18318596278.222748,256,62
192.168.50.8,51.473701,1.601987,1230960666.702592,2726,635
8.6.0.1,0.000000,-0.119498,48970442035.364471,54,21
192.168.50.254,0.000000,0.409074,889371146.005768,186,60
172.217.10.34,0.000000,-0.690926,43345282444.119308,12,6
172.217.12.129,0.000000,-0.690926,43337353521.561249,8,4
52.35.236.192,0.000000,1.309074,9146216590.655346,16,4
192.168.50.7,0.000000,0.835206,146163437.350822,1012,287
74.208.236.171,0.000000,0.552976,5942424767512.681641,133,41
125.56.201.105,0.000000,-1.690926,43311636819.341057,1,1
172.217.11.38,0.000000,-0.306311,10523498820.845695,31,13
173.194.68.108,0.000000,-1.190926,43276253057.317787,3,2
172.217.10.226,0.000000,-0.632103,41385421498.980423,35,17
54.192.49.17,0.000000,-0.024260,43337910973.861984,8,3
54.192.49.120,0.000000,-1.024260,43346414309.632980,10,6
172.217.6.194,0.000000,0.309074,28407341469.277672,3,1
52.7.108.194,0.000000,-1.357593,43316176030.644127,4,3
52.73.38.228,0.000000,-1.690926,43298101923.589554,2,2
23.194.142.15,0.000000,-0.274260,42656121967.581894,29,12
52.35.215.194,0.000000,-1.190926,43276876921.706215,3,2
38.69.238.19,0.000000,-1.190926,43339910387.637611,3,2
162.248.19.151,0.000000,-0.405212,18727228282.261810,16,7
72.21.91.29,0.000000,-1.090926,43337917128.402519,16,10
172.217.11.42,0.000000,-0.490926,36740708913.233337,22,10
172.217.7.3,0.000000,0.392407,26812634855.682838,37,12
172.217.10.1,0.000000,-1.024260,43343632033.760208,5,3
172.217.11.36,0.000000,-0.690926,43371651889.175461,6,3
172.217.10.106,0.000000,-0.690926,43321008824.104813,6,3
0.0.0.0,0.000000,-0.357593,16608014834629.177734,14,6
23.194.142.213,0.000000,1.975740,43308299814.941879,14,3
172.217.7.6,0.000000,-0.690926,15876616079.196125,6,3
216.58.219.196,0.000000,-0.690926,43355252002.132423,8,4
172.217.11.34,0.000000,10.854528,4720139560.093508,149,11
4.2.2.4,0.000000,-0.690926,43366908872.100830,8,4
172.217.10.10,0.000000,-0.690926,43362377905.946945,4,2
35.164.138.68,0.000000,-1.190926,43246936503.382111,3,2
172.217.10.110,0.000000,-0.690926,43367467427.552948,10,5
35.166.184.180,0.000000,1.309074,13811009602.148106,4,1
209.85.232.108,0.000000,4.309074,8158543738.919644,14,2
40.124.45.19,0.000000,-1.190926,43338245548.139679,3,2
8.8.8.8,0.000000,-0.690926,43371537467.892639,4,2
104.88.90.6,0.000000,-0.690926,43371561837.852379,2,1
209.85.201.109,0.000000,-1.190926,43360307266.605103,3,2
192.0.73.2,0.000000,-0.690926,43371121142.825424,4,2
172.217.3.98,0.000000,-0.690926,43371561837.852379,2,1
172.217.11.46,0.000000,-1.690926,43267959637.226791,1,1
